channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng,cluster
UC2kPnsU0XgIEtRqqpZkM71Q,0,0,0,0,0,0,0,1,0,0,1,0,4:動画編集
UC2sZQIn1hMKqxmgcJaflKOw,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC2vSUNvmHcMyph6W-mfRN5A,0,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC2wvHSuzr8z4XsC37uN_XNg,0,1,0,0,1,0,1,0,0,0,0,0,5:一般的
UC3-_0d6ykHO7_WnIJ7RXU3Q,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC31Q_uUwjOQhZMcovbK6igQ,1,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC32RqWFcWXgK_PBfzO9h2Tg,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC38mrZv-qjVWyOs_WObJ9PQ,1,1,0,0,0,0,1,0,0,0,0,0,2:イラスト・2Dモデル
UC3Cpmk8kGKYlAYOS9c6Igfw,0,0,1,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC3DAn3SqfD81mbVZuW9igUA,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC3ETsn9cTinBPwW-vUMT7aA,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC3G7IJJAv_epkSur02-tE8A,0,0,0,0,0,0,0,0,1,1,0,0,5:一般的
UC3L6Bf5L2kpofnyi1_qiaDw,0,0,0,1,1,0,1,1,0,1,1,0,1:企画・お笑い・トーク
UC3LGsPWOj2p6JxP7oRjSl1w,0,0,0,1,1,0,0,0,0,0,0,0,1:企画・お笑い・トーク
UC3LaieYhkDxMDhQLYlvqynw,0,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC3Nds_sl7f5UK4owgogjoIQ,1,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC3Sqg6wZYL1DcdTfc9sQA9Q,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC3Z4nXVK8a0Y3D9MroL7gEA,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC3_Mh4qQS62CWKp45gqnY2A,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC3dU5GPoknYi76xMOM3JbUQ,1,1,0,0,1,0,1,1,0,1,1,0,1:企画・お笑い・トーク
UC3gzd_poK7UFD2LAkwojiaw,1,1,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC3hHO5VuS4YD_rx6e3eFzLA,0,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC3jDGxI2BmRRHIQ4S3cgSVw,0,0,0,1,1,1,0,0,0,0,1,0,1:企画・お笑い・トーク
UC3kUzLIMWMIJKt0n_ZqRs9g,0,0,1,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC3n-A4K3F_4tY_0EmpsDfkA,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC3nYB-CnpY7L_2ZaQNeThoA,0,0,0,1,1,0,0,0,0,0,0,0,1:企画・お笑い・トーク
UC3qwIP8oaDnaGH313D_KgBA,1,0,0,0,1,0,0,1,0,0,1,0,1:企画・お笑い・トーク
UC3tOL8JHgdhz4hPU-DKYXNw,0,1,0,0,1,0,1,0,0,0,1,0,5:一般的
UC491xVp6Ip4qz5gTyDRg4Ow,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC4K0BPhoZW1MzEHnpk_jhHw,0,0,0,0,0,0,1,0,0,0,1,0,4:動画編集
UC4L9QGtCX4Q3F6IECUUlgow,0,0,0,0,0,0,0,0,1,0,0,0,5:一般的
UC4LoSYSUdRjcU9N3SmNEywQ,0,1,0,0,0,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC4Vau0DXBRFC-LsyRBhX6hA,1,0,0,0,1,0,0,1,0,0,0,0,3:歌
UC4a1dbAuhRwTPRNRJ3sRr-Q,1,1,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC4aZLkAT3S4ja3MXnicYZzw,1,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC4abpqV-4CEEB_WHiU4HHCA,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC4aiwUeuq4Ax_sqDM5SAj9g,0,0,0,0,0,1,1,0,0,0,0,0,1:企画・お笑い・トーク
UC4drTm13k1Keo3Y04tgk6pw,0,0,0,0,1,0,0,0,0,1,0,0,5:一般的
UC4hks00UI5wextQdVkEIB-Q,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC4ijBQknjgBzLPMzpVtlMmQ,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC4npTd2MGMpuLXol2egY2hQ,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC4tdzXb3MRGMw2gMS-QnmPQ,0,0,0,1,0,0,0,0,0,0,0,0,5:一般的
UC4wyC0JgnE9DhoLQkKo3qgw,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC4z7qMOpkdlWDU945-KDywQ,0,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC5-DtmP44TYaMLzdUaBDYdg,0,0,0,0,1,0,0,1,0,0,0,0,3:歌
UC5-UTz3GS8U5sYW2Hz38kwA,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC52ZfO6UKXPSy1i9RC-xBTQ,0,0,0,0,0,0,0,1,0,0,1,0,4:動画編集
UC54gypPh8-BdJ5-PgWLb45g,0,0,0,1,0,1,1,0,0,0,0,0,1:企画・お笑い・トーク
UC5F6_-cT8h2-Cy0luWBlFGQ,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC5Gsp0cTLrIKRkz4D9yCxkQ,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC5HS-IecqatQ45Mm41z5B8w,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC5JJf9l3VpQ14KOPDL8pbjQ,1,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC5OB45jE0XqRyXdGETY-2-w,1,1,0,1,0,0,0,0,0,0,0,0,1:企画・お笑い・トーク
UC5P_25q11zSWA6wKulI4EeA,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC5R3E1fjcNgbNPITCzQ35Ag,0,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC5SjDrYN9fAgw6t2MI_AVvQ,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC5XJnacGMzHFL_DGAePt06A,0,0,0,0,1,1,0,0,0,0,0,0,1:企画・お笑い・トーク
UC5XvKctSiQQ3NFVSfYJLJWA,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC5_0PuQdXUgpLLZkdozq1Vw,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC5_BgT0Kr0pOlwgWpnWL0Ug,1,0,0,0,0,0,1,1,0,0,0,0,2:イラスト・2Dモデル
UC5_nDyH-003dh1nZy8lVHlg,0,0,0,0,0,0,1,1,0,0,0,0,3:歌
UC5cLyxwU-kuuAWtMdBa6fQg,0,0,0,0,1,0,0,1,0,0,0,0,3:歌
UC5cbSyFTohO2_PJAqr-6NFA,0,0,0,1,0,0,1,0,0,0,1,0,4:動画編集
UC5csJ6hBMLhxBAtJ7Mi0BsA,0,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC5dSJc8mJ8k8hFaNr5HnT_A,0,0,0,0,1,1,0,0,0,0,1,0,4:動画編集
UC5gRDZyHF9TTotk28E5ayPg,1,1,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC5k4A1n2jGJZp8ClbS8CcyA,1,0,0,0,0,0,1,1,1,0,0,0,2:イラスト・2Dモデル
UC5snfPNcLa8srbCe4dn8Wew,0,0,0,1,0,0,1,0,0,0,0,0,5:一般的
UC632rW4pL7yq4oGLJFfsuVA,1,0,0,0,0,0,1,0,0,0,0,0,2:イラスト・2Dモデル
UC63UJPlX9IF89gK0PC_3naQ,1,0,0,0,0,0,0,0,0,0,1,0,4:動画編集
UC64lAAAboDtVyX5DohKvVnA,1,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC66p0k7akdIl9JG2CIyKzBg,0,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC6GmZCjSN_1D0v9qvqVEE5g,0,0,1,1,1,0,0,1,1,1,1,0,4:動画編集
UC6K0F33utZ_KZnko18khl-Q,1,0,0,0,0,0,1,1,0,0,0,1,2:イラスト・2Dモデル
UC6M5X72dgfoMp27sdCU27CA,1,0,0,0,1,0,0,1,0,0,0,0,3:歌
UC6MjPTgQT0_oGsBVdX5nZUw,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC6Mt9a8Mm2ZLrsP9xNOnRpw,1,0,0,1,0,0,1,0,0,0,0,1,5:一般的
UC6PJ5D0dI_FgTjuSwYwUK-g,1,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC6SYWBb8lhHYKybg9Ppr56Q,1,1,0,0,1,0,0,0,0,0,0,0,5:一般的
UC6SsfvvMYXGRVryQkR_9jIA,1,0,1,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC6XEofw_jOSc1ne6F97NOTA,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC6Zb58SYs25mnbTtR4ZAr9A,0,0,0,1,1,0,1,0,0,0,1,1,5:一般的
UC6cgUcRa_gGsjqq3Kp6B68w,0,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC6eVhk2wg_MqHdLcB1kPvGw,0,0,0,0,0,0,0,0,0,0,0,1,5:一般的
UC6i23xw5sXBCl9HYPiwTpgA,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC6jtmVEyT1oh6Lo6BdSTcBg,0,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC6kI9UelZ7W8kOOkv6gLXUA,1,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC6raxFTU0y8d8_4JVwZ56YQ,0,1,0,0,0,0,0,1,0,0,0,0,3:歌
UC6uqxSyfR4vnb--6vjfzU5A,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC6z05SC9m44YJVYFFFo3g4g,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC729_Tcmnv7_thRfdVSlk1Q,0,0,0,1,1,1,0,0,0,0,0,0,1:企画・お笑い・トーク
UC73DLMOm-BzwF-SelLSuxnw,0,0,0,0,1,0,1,0,0,0,0,0,5:一般的
UC74254idDopreMMQfNIsJFw,0,0,0,1,0,0,1,0,0,0,1,0,4:動画編集
UC77pnz0QGqvMpJZMFTY_zLw,1,0,0,1,0,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC7A7bGRVdIwo93nqnA3x-OQ,0,0,0,0,0,0,0,1,0,0,1,0,4:動画編集
UC7Ar3UTX9pqTXZKfIO7wfVw,0,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC7Bjbk5PlrywAY2nHSxCurg,1,1,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC7CX-YJ14nMNbxSzVcnUqMQ,0,0,0,0,1,0,1,1,0,0,0,0,3:歌
UC7E0ZB2Feiq1fWCucicTR0Q,1,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC7FMDZMIFyuNxyc0ocPU_Kg,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC7MBvGkcH3bWqmyoRjLFw_g,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
UC7MKzk1xlqe9pcsae5u97VA,0,0,0,1,1,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC7OPkXOadje491mUGcPIhAA,0,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC7Pfn1SEmphNP07g7YjeKLg,1,0,0,0,0,0,0,0,0,0,0,0,2:イラスト・2Dモデル
UC7R2tH4OhJE5Zt6L4N6bOnw,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC7SlaxqTvy-zoFbacWeJX5w,0,0,0,1,1,0,0,1,0,0,0,0,1:企画・お笑い・トーク
UC7W2zxRLjrjatz2KoFn_E9A,0,0,0,1,1,0,1,0,0,1,0,0,5:一般的
UC7WY5VP-P-rSb2ES5npk8yA,0,0,0,0,0,0,1,1,0,0,0,0,3:歌
UC7WiEMYYclGCpxppbxEvbJw,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC7YWr5lwet-_0af_cUo35Kg,0,0,0,1,0,0,1,0,0,0,0,0,5:一般的
UC7b2UoNgCM1-ncdEg5Lb9yQ,0,0,0,0,0,0,1,0,0,0,0,0,5:一般的
UC7b4AbeME2fPipioiKBLjfA,0,0,0,1,1,1,0,1,0,0,0,1,5:一般的
UC7kiR8rqM9ojRPLYXV-wa-A,0,0,0,1,1,0,1,1,0,0,0,0,1:企画・お笑い・トーク
UC7lDcWB9HvRy3D7kvBOXFOA,0,0,0,0,0,0,0,0,0,1,0,0,5:一般的
UC7qemBGRFW6o2FZPKhZhv9g,0,0,0,0,1,0,0,0,0,0,0,0,5:一般的
UC7r_hkNSKN22RXRklZsPbWg,0,0,0,0,0,0,1,0,0,0,1,0,4:動画編集
UC7vEjdm4EFBGWkOOxxWR6bw,1,0,0,1,0,0,1,0,0,0,0,0,1:企画・お笑い・トーク
UC7vjGEbLNlo6ukrmeLKI7rw,0,0,0,0,0,0,1,0,0,0,1,0,4:動画編集
UC7wq4kxtd6VhSRn0jmOexVQ,0,0,0,0,0,0,0,1,0,0,0,0,3:歌
