channelId,model_2d,model_3d,model_real
UC23peOPQ0qQLLME5TwDP6AA,1,0,0
UC24jXUR8FlMvxtpZYmQiVqA,1,0,0
UC27q1VXrKKVodfVM2Kjft8A,1,1,0
UC27q1VXrKKVodfVM2Kjft8A,1,1,0
UC2Cjji6DPdKxHZqXtDiVpiQ,0,1,0
UC2Cjji6DPdKxHZqXtDiVpiQ,0,1,0
UC2EFpg8OBlhXDTL74SRnIyQ,1,0,0
UC2EFpg8OBlhXDTL74SRnIyQ,1,0,0
UC2F-iVX7SnKrlkYBn6K8yMg,0,1,0
UC2GSF2gbol49r3e7ZuZupfA,1,1,0
UC2GSF2gbol49r3e7ZuZupfA,1,1,0
UC2IStAXeLv5ZtdxyA-5IyRg,1,0,0
UC2JVuvAo74kqPH0GXC8JcBw,1,0,0
UC2JVuvAo74kqPH0GXC8JcBw,1,0,0
UC2JVuvAo74kqPH0GXC8JcBw,1,0,0
UC2JVuvAo74kqPH0GXC8JcBw,1,0,0
UC2K8sRze5m27lPGddWX0EXw,0,1,0
UC2KAd7RjMethPmoGnoHcUDQ,1,0,0
UC2MkLU3GCVJpD58pSkP18Nw,1,0,0
UC2NLsugIKXVwEotOWHauZTw,1,0,0
UC2NLsugIKXVwEotOWHauZTw,1,0,0
UC2O69Qurqdd_LMU_dEaZQng,0,1,0
UC2PFRFwwzPst3bdTWE8EuVg,0,1,0
UC2QaW4QAbBVI61ixh8TJ3Og,1,0,0
UC2QaW4QAbBVI61ixh8TJ3Og,1,0,0
UC2RLL3W-negkiUdeAXV9dsw,1,0,0
UC2RXm99-WUXpUC76K6WrSXA,0,1,0
UC2ULtJYtXH_wE-d4ccYcN_w,1,0,0
UC2ULtJYtXH_wE-d4ccYcN_w,1,0,0
UC2ULtJYtXH_wE-d4ccYcN_w,1,0,0
UC2VYd4hbXk_WYhtMRKiIzEg,1,0,0
UC2Vyy8we1hHf5Qcud01WMjA,0,1,0
UC2X1AKh0vXVCxTC0TEqIGQA,0,1,1
UC2X1AKh0vXVCxTC0TEqIGQA,0,1,1
UC2YSkjrHkjqW74aVwng_5Lw,1,0,0
UC2Z0gWiVWxQYMg4iUAymv5A,1,0,1
UC2ZWmqiY0OJHz1QNS4Bj8Eg,0,0,1
UC2_zraR87nak_nldprzrDZQ,0,1,0
UC2aBQtucR2iIAm_yZhzBPVQ,1,0,0
UC2aBQtucR2iIAm_yZhzBPVQ,1,0,0
UC2dJpxRY3LdQMasgyxPpQ3g,1,0,0
UC2dJpxRY3LdQMasgyxPpQ3g,1,0,0
UC2fzIs-C_0SkjzZPi7dlhuQ,1,0,0
UC2iBNNh1MgVMuXZdMpH7jkA,1,0,0
UC2kI5KnUHmqsPg9eKn9zaIw,1,0,0
UC2kI5KnUHmqsPg9eKn9zaIw,1,0,0
UC2kI5KnUHmqsPg9eKn9zaIw,1,0,0
UC2kPnsU0XgIEtRqqpZkM71Q,0,1,0
UC2kPnsU0XgIEtRqqpZkM71Q,0,1,0
UC2lw2kyLpgJ5RmXO8hKdNMA,0,1,0
UC2nPD1cV3UyftMs_PWO0b1A,1,0,0
UC2n_JvsOFuUXWoS4RJHgo_A,1,0,0
UC2n_JvsOFuUXWoS4RJHgo_A,1,0,0
UC2qm85KxNGsi-a6PxiLBNsQ,1,0,0
UC2rxYoldK75jejdjpmySpUw,1,0,0
UC2rxYoldK75jejdjpmySpUw,1,0,0
UC2tO6jjLG20H-RymbOOQOkw,1,0,0
UC2vSUNvmHcMyph6W-mfRN5A,0,0,1
UC2vr5KnCrCE1y1vR2x36LHw,1,0,0
UC2wRhHUEqwDJ-ObXPwvXgSA,1,0,0
UC2wRhHUEqwDJ-ObXPwvXgSA,1,0,0
UC2wvHSuzr8z4XsC37uN_XNg,0,1,0
UC3-_0d6ykHO7_WnIJ7RXU3Q,0,1,0
UC31Q_uUwjOQhZMcovbK6igQ,1,0,0
UC32RqWFcWXgK_PBfzO9h2Tg,1,1,0
UC34e551MVRilbAMXx-PaRhg,1,0,0
UC34e551MVRilbAMXx-PaRhg,1,0,0
UC351yfH4jskbL-ob8FAkveQ,1,0,0
UC351yfH4jskbL-ob8FAkveQ,1,0,0
UC38HmFHdYe7rbT7OMPnW-gg,0,1,0
UC38HmFHdYe7rbT7OMPnW-gg,0,1,0
UC38mrZv-qjVWyOs_WObJ9PQ,1,0,0
UC38pUkua3_nvjtgYkeAdfOA,0,1,0
UC3Bqgso86ZqqKR2hfQmH_0A,1,0,0
UC3Bqgso86ZqqKR2hfQmH_0A,1,0,0
UC3Cpmk8kGKYlAYOS9c6Igfw,0,1,0
UC3DAn3SqfD81mbVZuW9igUA,1,0,0
UC3ETsn9cTinBPwW-vUMT7aA,1,0,0
UC3FjRa6yosUtAHbgDiCJf1w,1,0,0
UC3G7IJJAv_epkSur02-tE8A,0,1,0
UC3J9dwkwvtj3INeY4dZkrXA,1,0,0
UC3LBMEUxtU5ngXYodie86ug,1,0,0
UC3LBMEUxtU5ngXYodie86ug,1,0,0
UC3LaieYhkDxMDhQLYlvqynw,1,0,0
UC3Nds_sl7f5UK4owgogjoIQ,1,0,0
UC3Nds_sl7f5UK4owgogjoIQ,1,0,0
UC3Nyg7ZVWxdt9tnnmFY7HqA,0,1,0
UC3RUCAVD3IizP7725NCc_uA,0,1,0
UC3TWApfFiir6wkyL-P82BQg,1,0,0
UC3TWApfFiir6wkyL-P82BQg,1,0,0
UC3VccIEjAhMMShVB6RPAJ3g,1,0,0
UC3XmKwcr-yu-95SNpJCmU9A,0,1,0
UC3XmKwcr-yu-95SNpJCmU9A,0,1,0
UC3Z4nXVK8a0Y3D9MroL7gEA,1,0,0
UC3_vnjrqcR4FGmNJQ3qnTKw,1,0,0
UC3_vnjrqcR4FGmNJQ3qnTKw,1,0,0
UC3cN_h6lz_gKTFj78f6q9JQ,0,1,0
UC3dIsoHGobZWIU7THK3tGQw,1,0,0
UC3dU5GPoknYi76xMOM3JbUQ,1,0,0
UC3dU5GPoknYi76xMOM3JbUQ,1,0,0
UC3eSblTpU3fhl9eprBk1RzA,0,1,0
UC3fgXhDu1WPyPh8hM0G7M_Q,1,0,0
UC3foplB6ce_PVJXLQWSMkEA,1,0,0
UC3foplB6ce_PVJXLQWSMkEA,1,0,0
UC3foplB6ce_PVJXLQWSMkEA,1,0,0
UC3foplB6ce_PVJXLQWSMkEA,1,0,0
UC3gzd_poK7UFD2LAkwojiaw,1,0,0
UC3hHO5VuS4YD_rx6e3eFzLA,0,1,0
UC3h_TxlJPpmFSv1gxBQsYEQ,1,0,0
UC3h_TxlJPpmFSv1gxBQsYEQ,1,0,0
UC3ihuYOk20BIk6LWs1ddOMg,0,1,0
UC3jC1ep40tUfLSsN0i2zQKg,0,1,0
UC3kUzLIMWMIJKt0n_ZqRs9g,0,1,0
UC3lhMowMtAPnPciCZRIiwnQ,1,0,0
UC3lhMowMtAPnPciCZRIiwnQ,1,0,0
UC3liNsdIGSithcXZ-tSJEPA,1,0,0
UC3n-A4K3F_4tY_0EmpsDfkA,1,0,0
UC3n-A4K3F_4tY_0EmpsDfkA,1,0,0
UC3n-A4K3F_4tY_0EmpsDfkA,1,0,0
UC3nYB-CnpY7L_2ZaQNeThoA,1,0,0
UC3qm7Q7Yv0qKRZahNLgSCxQ,0,1,0
UC3qm7Q7Yv0qKRZahNLgSCxQ,0,1,0
UC3qwIP8oaDnaGH313D_KgBA,1,0,0
UC3sLLcdI2j7pRumlZ-1dAcA,1,0,0
UC3uDfO6Mg8fGu_E0PLyZOkw,1,0,1
UC3uDfO6Mg8fGu_E0PLyZOkw,1,0,1
UC3wFxulONBd11BmiSQxiU4w,1,0,0
UC3wFxulONBd11BmiSQxiU4w,1,0,0
UC3xjYrnCogpH6K3II94m0iQ,0,0,1
UC3yYBvPcup-RHGti7s_IJ7g,0,1,0
UC40QltfnFeDyi1HSp8_IBPA,1,0,0
UC40QltfnFeDyi1HSp8_IBPA,1,0,0
UC40s5z5yrd02Ngy8nQZXE5w,1,0,0
UC40s5z5yrd02Ngy8nQZXE5w,1,0,0
UC47wrMSfmhimh-Y86vUatEw,1,0,0
UC491xVp6Ip4qz5gTyDRg4Ow,1,0,0
UC491xVp6Ip4qz5gTyDRg4Ow,1,0,0
UC4BP3PJi_ml4i2H5vCLh6sA,1,0,0
UC4BP3PJi_ml4i2H5vCLh6sA,1,0,0
UC4C4oU1Onro8-J_Sck-lQwg,1,1,1
UC4DgMVUFL8GhgKhmobBNPvQ,0,1,0
UC4IOoA_DchY2D-jM-D1rlSQ,1,0,0
UC4IOoA_DchY2D-jM-D1rlSQ,1,0,0
UC4L9QGtCX4Q3F6IECUUlgow,1,0,0
UC4LoSYSUdRjcU9N3SmNEywQ,1,0,0
UC4Nu2mCoCKz9TplcxLS0pQQ,1,0,0
UC4Nu2mCoCKz9TplcxLS0pQQ,1,0,0
UC4Vau0DXBRFC-LsyRBhX6hA,1,0,0
UC4VirZAWmW4kwko86aaQCsg,1,0,0
UC4VirZAWmW4kwko86aaQCsg,1,0,0
UC4a1dbAuhRwTPRNRJ3sRr-Q,1,0,0
UC4a1dbAuhRwTPRNRJ3sRr-Q,1,0,0
UC4aZLkAT3S4ja3MXnicYZzw,1,0,0
UC4aZLkAT3S4ja3MXnicYZzw,1,0,0
UC4aiwUeuq4Ax_sqDM5SAj9g,1,0,0
UC4bxGRi92sXSWHa2mZXMkDA,1,0,0
UC4bxGRi92sXSWHa2mZXMkDA,1,0,0
UC4dG8hEEyNN0xBu4OdJorgg,0,1,0
UC4drTm13k1Keo3Y04tgk6pw,1,0,0
UC4hks00UI5wextQdVkEIB-Q,1,1,1
UC4j3R3JqU_R0Rm2dfpGgtfg,1,0,0
UC4j3R3JqU_R0Rm2dfpGgtfg,1,0,0
UC4mNNzOFcNJ2q537uaQQRRg,1,0,0
UC4npTd2MGMpuLXol2egY2hQ,1,0,0
UC4npTd2MGMpuLXol2egY2hQ,1,0,0
UC4ogJegx6joaD83KlA5a3Jw,1,1,0
UC4pwGqVlUF1FgcmxbzlLuzA,1,0,0
UC4te29cKJJX-_Rj_mt5RtYA,1,0,0
UC4te29cKJJX-_Rj_mt5RtYA,1,0,0
UC4te29cKJJX-_Rj_mt5RtYA,1,0,0
UC4v8cQSjmAjTaZ2BXHgfIWQ,1,0,0
UC4v_C08reJDoyMGAfIWJ7oA,1,0,0
UC4v_C08reJDoyMGAfIWJ7oA,1,0,0
UC4v_C08reJDoyMGAfIWJ7oA,1,0,0
UC4vv46Qz5apgq8MWyUeIO7g,0,1,0
UC4wyC0JgnE9DhoLQkKo3qgw,1,0,0
UC5-DtmP44TYaMLzdUaBDYdg,1,0,0
UC5072XDe1tfc79CNCJuNMWQ,1,0,0
UC5072XDe1tfc79CNCJuNMWQ,1,0,0
UC52ZfO6UKXPSy1i9RC-xBTQ,0,1,0
UC54gypPh8-BdJ5-PgWLb45g,1,0,0
UC5Ax0d07uv-VL7C_7vwh6Gw,1,0,0
UC5Ax0d07uv-VL7C_7vwh6Gw,1,0,0
UC5Gsp0cTLrIKRkz4D9yCxkQ,1,0,0
UC5Gsp0cTLrIKRkz4D9yCxkQ,1,0,0
UC5HFF-sJHQW2GWPumvMktGA,1,0,0
UC5HK6giI9tucFh08Z-Zf7hA,0,1,0
UC5HS-IecqatQ45Mm41z5B8w,1,0,0
UC5IfVWCKCrKExk6h4lUusPg,1,1,0
UC5IfVWCKCrKExk6h4lUusPg,1,1,0
UC5JJf9l3VpQ14KOPDL8pbjQ,1,1,0
UC5M2MQxRQFDZZOLeUt7-9pQ,1,0,0
UC5MGJSpvgXAxZ7KS0uecjPg,1,0,0
UC5Nl5wqw8DppRRS0I9IibfQ,1,0,0
UC5Nl5wqw8DppRRS0I9IibfQ,1,0,0
UC5P_25q11zSWA6wKulI4EeA,1,0,0
UC5R3E1fjcNgbNPITCzQ35Ag,1,0,0
UC5S8XSSQ9lDrYYU6s1BybxA,1,0,0
UC5S8XSSQ9lDrYYU6s1BybxA,1,0,0
UC5SjDrYN9fAgw6t2MI_AVvQ,1,0,0
UC5SjDrYN9fAgw6t2MI_AVvQ,1,0,0
UC5SjDrYN9fAgw6t2MI_AVvQ,1,0,0
UC5Usut_e6IRtvSovO0F-LrA,1,0,0
UC5XJnacGMzHFL_DGAePt06A,1,0,0
UC5XJnacGMzHFL_DGAePt06A,1,0,0
UC5ZYEU8lkjEjnwcmDgejkBg,0,1,0
UC5ZYEU8lkjEjnwcmDgejkBg,0,1,0
UC5_0PuQdXUgpLLZkdozq1Vw,1,0,0
UC5_BgT0Kr0pOlwgWpnWL0Ug,1,0,0
UC5cLyxwU-kuuAWtMdBa6fQg,1,0,1
UC5cLyxwU-kuuAWtMdBa6fQg,1,0,1
UC5cbSyFTohO2_PJAqr-6NFA,1,0,0
UC5csJ6hBMLhxBAtJ7Mi0BsA,0,1,0
UC5dSJc8mJ8k8hFaNr5HnT_A,1,0,0
UC5eKl4vb1Sladr0GOlLzO1Q,1,0,0
UC5eKl4vb1Sladr0GOlLzO1Q,1,0,0
UC5k4A1n2jGJZp8ClbS8CcyA,1,0,0
UC5mCyt7klm0cRAp4UmcUvTA,1,0,0
UC5mCyt7klm0cRAp4UmcUvTA,1,0,0
UC5npbdFF5s4S_w2qwzNa1NA,0,1,0
UC5pnSFK3jYD6K3znLU8qZtw,1,0,0
UC5qvoaPbeI8wBF_DzU4Lbcw,1,0,0
UC5riZZ5TocmcqkBB6ARdvXA,1,1,0
UC5snfPNcLa8srbCe4dn8Wew,1,0,0
UC5snfPNcLa8srbCe4dn8Wew,1,0,0
UC5snfPNcLa8srbCe4dn8Wew,1,0,0
UC5up3t2ijkkKujj30lwRDcw,1,0,0
UC5vSNZDjl4r7cheSyvqpryg,0,1,0
UC5vrC0uP6X0O8wILnTs13rw,1,0,0
UC5wjktjYjzfKclJkM0ROxBQ,1,0,0
UC5xLmf6d1fhrbOXbinx2VhA,1,0,0
UC5yrv9mfgWhh1sbgGVxX8uQ,1,0,0
UC5yrv9mfgWhh1sbgGVxX8uQ,1,0,0
UC5yypvZ5hpZqLfFZ3dZR7yA,1,0,0
UC5yypvZ5hpZqLfFZ3dZR7yA,1,0,0
UC62X2ubrlfHT854ls5SI59A,0,1,0
UC62j-S5ZMLWJFmy8LbmW3CA,0,1,0
UC632rW4pL7yq4oGLJFfsuVA,1,0,0
UC632rW4pL7yq4oGLJFfsuVA,1,0,0
UC632rW4pL7yq4oGLJFfsuVA,1,0,0
UC637_MGKjNl0VaYtTL1mL8A,1,0,0
UC637_MGKjNl0VaYtTL1mL8A,1,0,0
UC65woet7p7bhcjHtSbtlWQw,1,0,0
UC66p0k7akdIl9JG2CIyKzBg,0,1,0
UC66p0k7akdIl9JG2CIyKzBg,0,1,0
UC672MLaj5U9_hCnA1gP3V8g,1,0,0
UC68G7CKwETqspxyNeMb7FiA,1,0,0
UC6B2GCFDDDwmy-BDDoXHjTA,0,1,0
UC6Fni-XxBsyMYrm5qElcdQw,1,0,0
UC6Fni-XxBsyMYrm5qElcdQw,1,0,0
UC6FoPaPpTVPCqxpm_hjBWzA,0,1,0
UC6GmZCjSN_1D0v9qvqVEE5g,0,1,0
UC6GuHIFuUuFrUx9A5Zuj8bw,0,1,0
UC6Hq3DI_woHvp9QU0LvWHmQ,0,1,0
UC6Hq3DI_woHvp9QU0LvWHmQ,0,1,0
UC6I9f215mMtBEcuouEyfXSg,1,0,0
UC6JQ1UQ2PHFOQUXLamwhlzg,1,0,0
UC6K0F33utZ_KZnko18khl-Q,1,0,0
UC6MMhdArr5vhdms4TqVRgpg,1,0,0
UC6MjPTgQT0_oGsBVdX5nZUw,1,0,0
UC6PJ5D0dI_FgTjuSwYwUK-g,1,0,1
UC6R4CGQIv9aQ9p7fwOJZBBg,1,0,0
UC6R4CGQIv9aQ9p7fwOJZBBg,1,0,0
UC6SsfvvMYXGRVryQkR_9jIA,1,0,0
UC6UMRSq0LTA9hgJwh2y0Ljw,1,1,0
UC6UMRSq0LTA9hgJwh2y0Ljw,1,1,0
UC6aBMidhoSScGUoUXMMGASA,0,1,0
UC6aBMidhoSScGUoUXMMGASA,0,1,0
UC6cgUcRa_gGsjqq3Kp6B68w,1,0,0
UC6d6-yhUQOIyqOnVmSHCCbg,1,0,0
UC6eM0HvyD4apf5BiNPQHkZQ,1,0,0
UC6eM0HvyD4apf5BiNPQHkZQ,1,0,0
UC6eVhk2wg_MqHdLcB1kPvGw,0,1,1
UC6jtmVEyT1oh6Lo6BdSTcBg,1,0,0
UC6kI9UelZ7W8kOOkv6gLXUA,1,0,0
UC6kg7LjrHxfJCXLCaPBZ_Rw,1,0,0
UC6kg7LjrHxfJCXLCaPBZ_Rw,1,0,0
UC6oBZtl682XNMLol5gXVbbA,1,0,0
UC6oBZtl682XNMLol5gXVbbA,1,0,0
UC6oBZtl682XNMLol5gXVbbA,1,0,0
UC6rvCsAl0iAV6exrFdoo7gA,0,1,0
UC6tdAl3w5AuK7W9x8iroCqw,1,0,0
