channelId,title,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCrxtv0Zc8uQNfsY0HsAGY8g,"天硝路ろまん【StellArt.】",2023-11-18T17:00:38.287198Z,636263,8040,False,224
UCFernrRmaCRoOjZ55pwNxpw,"華鉈イオ【StellArt.】",2023-11-18T17:01:22.596595Z,398367,5430,False,214
UCyopqN_GraPxU1rWlt_Axyw,"金鯱テキーラは受肉したい!!",2023-06-21T01:09:30.817001Z,262,49,False,2
UCNUOpIQPzaiZcyMxxjHllEg,"優璃乃せいな",2018-06-20T05:40:49Z,12387,267,False,119
UCnXuWcdXFM-4hmRZBVEZLJA,"如月ノイズ / noise",2023-05-22T16:21:16.972561Z,96996,1720,False,245
UC7YWr5lwet-_0af_cUo35Kg,"夢音咲テイル / Yunezaki Teiru",2020-08-10T20:48:27.904535Z,194394,811,False,1399
UCtX2hL3vMaFL539br_0_hWw,"柳風Vtuber / グループ四足歩行",2021-04-06T12:38:43.328914Z,43638,334,False,496
UCoHdmXRq4qzvyblvHN_9VZQ,"きつねここ〔吃音キツネ〕",2023-03-03T15:35:13.541148Z,22934,392,False,137
UC6cgUcRa_gGsjqq3Kp6B68w,"鹿鳴りあ🦌👼",2023-01-24T08:55:17.777198Z,150361,8060,False,234
UCto-Js_wBR623myy5eL7low,"雨音舞･.｡*Amane Mai･.｡*",2023-09-13T06:00:22.366938Z,5608,44,False,49
UCzTzSwA5HMj_E6Ej2xtrtxQ,"まぬるねこのやこ",2010-09-02T22:37:53Z,34752,473,False,280
UCw1TcHPYZyCLs2QMYfpNh6Q,"めこ隊長 / Meko ch.",2022-05-17T06:32:32.242962Z,377347,5040,False,197
UCCnXl3KbPPnkSiW7UxazBhQ,"大饗 ぬる / OOAE NULL Ch。",2020-10-11T00:43:36.739643Z,41782,1040,False,242
UCe2xF5TKhTmoUZBMSA58e9Q,"ベルゼブチャンネル",2016-04-07T20:50:55Z,35597,267,False,469
UCl-dCiV7ORvkaV-TCyTllqg,"椎木うつり",2023-07-26T22:06:23.79734Z,5248,62,False,49
UCyxwxZCebYm6KoxVu154-9g,"Super Shiva Ch. - えのきのこ",2016-01-14T10:51:42Z,10149,253,False,84
UCaa7x_w40FSFvnyTpfsU_eg,"神屋タウ-イベンターグループ【Neon】-AC6大会NeonFes主催-",2022-07-22T18:26:24.066987Z,52299,2350,False,326
UCq5xAtQ2KqeIz3rLyUtYWzg,"Kabukawa Ch. 蕪川にいろ",2020-05-09T11:23:17.852581Z,17045,233,False,292
UCKnNsqQ2TeshnCrI9oJ1XEg,"阿座神ふみ",2020-04-10T02:38:58.795402Z,19600,260,False,171
UC4C4oU1Onro8-J_Sck-lQwg,"梅林寺華鈴",2020-09-14T10:32:09.078135Z,26371,205,False,219
UC6GmZCjSN_1D0v9qvqVEE5g,"瑚雨りん💍🎒",2021-11-08T03:14:43.168912Z,20147,183,False,92
UCW7wvoJ1Kn0xStTS062BX_w,"PBMF",2020-07-04T06:51:31.935291Z,26649,188,False,231
UCUINwe0lv6T-z2eytj-Nn7w,"本多祈 - Honta INori Ch.",2022-01-31T14:06:59.823652Z,22184,258,False,233
UCKUHfnNk_9kGED_2WaXrYhA,"夢音結マイ｡:*.ﾟ･* Kranes Mai",2020-11-24T00:41:30.95304Z,226732,21800,False,297
UCQ63-05dqMipfPlB2mQs91g,"奏空セレ_Kanata Sele CH ",2023-04-26T04:43:42.178521Z,1838,43,False,36
UCkfblgpiz_bvBZ46-NejrbQ,"よろづ萩葉の万葉ちゃんねる",2018-11-11T15:05:36Z,932662,4700,False,397
UCoC8cjEDtwQG0PYB3WLbMbg,"紙屋巧　KamiyaKou",2008-05-27T07:45:35Z,55564,404,False,396
UCAitFHNH4kH73zrKwBYiyGw,"窟竜サルド TRPG解説VTuber",2022-04-07T02:10:01.358871Z,4913,156,False,177
UCsAoyzNVhYYWoQpWjtDAGpw,"東和正 / AzumaKazumasa",2017-04-17T12:28:46Z,1598578,3260,False,364
UCYDHCMNY2SljVPAk2ART6VQ,"Yomi Ch.悠希よみ",2015-04-06T12:43:09Z,20239,236,False,373
UCY49HkNMfiLxQbTHmebChAQ,"EMMANUELLE 〜阿門エマニュエル〜",2018-06-23T15:21:26Z,4030,41,False,78
UC6I9f215mMtBEcuouEyfXSg,"秋瑞 -Akimizu-",2020-03-03T13:18:43.055798Z,29638,453,False,271
UCD3u3SdRmL1mS39aNK79bcQ,"来栖ケンゴ",2022-02-04T13:58:34.339061Z,161116,12600,False,729
UCQ3cWPw92qfa6uJXvLqSLog,"小愛あむの / Koito Amuno",2023-06-01T07:05:51.643846Z,337624,13200,False,186
UCiqsIDVd04dDFIJwbs_jwqg,"甘雪しろむ Ch.amayuki shiromu",2023-06-22T01:53:33.783997Z,69942,820,False,226
UCi1ZQzASmzU9-V3vCS2j6UA,"珀矢 風蕗 / Hakuya Huuro",2022-02-23T20:28:11.303201Z,34686,447,False,401
UCAPeg9xL7IQbI9ajHI9pStA,"アツポットの日常 -夫婦Vtuber-",2021-07-06T05:43:30.623132Z,768577,2860,False,860
UCRCkJZrZfo6eZwlz15lQewQ,"木野ぴの / Chinoppino",2021-07-30T09:39:55.819382Z,53962,586,False,403
UCoE2SdHT1Bk7oRXD4QHKWqQ,"神咲カゲロウ",2018-09-28T12:28:20Z,29153,293,False,611
UCZFWjpQ4zGD8rslQ7b-VR9A,"あんにんch!",2013-06-10T09:36:00Z,0,844,False,0
UCIx8Bw7IEaYfioC-40xxx1g,"医ノ崎 キルカ Inosaki kiluka",2020-05-28T13:44:07.480997Z,4096,748,False,2
