channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng
UC4npTd2MGMpuLXol2egY2hQ,0,0,0,0,1,0,1,1,0,0,0,0
UC4tdzXb3MRGMw2gMS-QnmPQ,0,0,0,1,0,0,0,0,0,0,0,0
UC4wyC0JgnE9DhoLQkKo3qgw,0,0,0,0,1,0,1,0,0,0,0,0
UC4z7qMOpkdlWDU945-KDywQ,0,0,0,0,1,0,1,0,0,0,0,0
UC5-DtmP44TYaMLzdUaBDYdg,0,0,0,0,1,0,0,1,0,0,0,0
UC5-UTz3GS8U5sYW2Hz38kwA,1,0,0,0,0,0,0,1,0,0,0,0
UC51WM9tOD1nwJY-q2h4z3YQ,0,0,0,0,0,0,1,0,0,0,1,0
UC52ZfO6UKXPSy1i9RC-xBTQ,0,0,0,0,0,0,1,1,0,0,1,0
UC54gypPh8-BdJ5-PgWLb45g,0,0,0,1,0,1,1,0,0,0,0,0
UC5F6_-cT8h2-Cy0luWBlFGQ,0,0,0,0,0,0,1,0,0,0,0,0
UC5Gsp0cTLrIKRkz4D9yCxkQ,1,0,0,0,0,0,0,0,0,0,0,0
UC5HS-IecqatQ45Mm41z5B8w,0,0,0,0,0,0,1,0,0,0,0,0
UC5ILsOVPu0-0ZdGKGoabnSQ,0,0,0,1,1,0,1,1,0,0,0,0
UC5J9kElSRDDlaQc2-BSKLoQ,0,0,0,1,1,0,1,1,0,0,0,0
UC5ND6tPAuicyh6vA71TbDqQ,0,0,0,0,0,0,1,1,0,0,0,0
UC5OB45jE0XqRyXdGETY-2-w,1,1,0,0,0,0,0,0,0,0,0,0
UC5P_25q11zSWA6wKulI4EeA,0,0,0,1,0,0,1,0,0,0,0,0
UC5R3E1fjcNgbNPITCzQ35Ag,0,0,0,1,1,0,1,0,0,0,0,0
UC5SjDrYN9fAgw6t2MI_AVvQ,0,0,0,0,1,0,1,0,0,0,0,0
UC5XJnacGMzHFL_DGAePt06A,0,0,0,0,1,1,1,0,0,0,0,0
UC5XvKctSiQQ3NFVSfYJLJWA,0,0,0,0,0,0,0,1,0,0,0,0
UC5_0PuQdXUgpLLZkdozq1Vw,1,0,0,0,0,0,0,0,0,0,0,0
UC5_BgT0Kr0pOlwgWpnWL0Ug,1,0,0,0,0,0,1,0,0,0,0,0
UC5_nDyH-003dh1nZy8lVHlg,0,0,0,0,0,0,1,1,0,0,0,0
UC5bMZHMUB5e9h0psau1Az_w,0,0,0,1,1,1,1,0,0,0,0,0
UC5cLyxwU-kuuAWtMdBa6fQg,0,0,0,0,1,0,0,1,0,0,0,0
UC5cbSyFTohO2_PJAqr-6NFA,0,0,0,1,0,0,0,1,0,0,1,0
UC5csJ6hBMLhxBAtJ7Mi0BsA,0,0,0,0,1,0,0,1,0,0,0,0
UC5dSJc8mJ8k8hFaNr5HnT_A,0,0,0,0,1,1,0,0,0,0,1,0
UC5gRDZyHF9TTotk28E5ayPg,1,1,0,0,0,0,0,0,0,0,0,0
UC5k4A1n2jGJZp8ClbS8CcyA,1,0,0,0,0,0,1,1,1,0,1,0
UC5snfPNcLa8srbCe4dn8Wew,0,0,0,1,0,0,1,0,0,0,0,0
