channelId,model_2d,model_3d,model_real
UC3LGsPWOj2p6JxP7oRjSl1w,1,0,0
UC3Mcma_R7kPRwYoHEU5yqlw,1,0,0
UC3Nyg7ZVWxdt9tnnmFY7HqA,0,1,0
UC3NznKqwyVTKh_tSy2vjb1Q,1,0,0
UC3RUCAVD3IizP7725NCc_uA,1,1,0
UC3TM8aeyR60qzXTIXgSxvVg,1,0,0
UC3TWApfFiir6wkyL-P82BQg,1,0,0
UC3VccIEjAhMMShVB6RPAJ3g,1,0,0
UC3Z4nXVK8a0Y3D9MroL7gEA,1,0,0
UC3_Mh4qQS62CWKp45gqnY2A,1,0,0
UC3axsv4DlMDwe3v-UeFzjAA,1,0,0
UC3cAtBDebivbwUqXRjd3p2A,1,0,0
UC3cN_h6lz_gKTFj78f6q9JQ,0,1,0
UC3dU5GPoknYi76xMOM3JbUQ,1,0,0
UC3dytdn6KMDkm62mnq7ZtgA,1,0,0
UC3fM1AoVwZzbEI5YxvTnIKA,1,0,0
UC3foplB6ce_PVJXLQWSMkEA,1,0,0
UC3gwDZyZKHwIS2loZcVcHpA,1,0,0
UC3gzd_poK7UFD2LAkwojiaw,0,1,0
UC3hHO5VuS4YD_rx6e3eFzLA,0,1,0
UC3h_TxlJPpmFSv1gxBQsYEQ,1,0,0
UC3ihuYOk20BIk6LWs1ddOMg,0,1,0
UC3jC1ep40tUfLSsN0i2zQKg,0,1,0
UC3jDGxI2BmRRHIQ4S3cgSVw,1,0,0
UC3kUzLIMWMIJKt0n_ZqRs9g,0,1,0
UC3lhMowMtAPnPciCZRIiwnQ,1,0,0
UC3liNsdIGSithcXZ-tSJEPA,1,0,0
UC3qm7Q7Yv0qKRZahNLgSCxQ,0,1,0
UC3qwIP8oaDnaGH313D_KgBA,1,0,0
UC3rXkKNOewrbijINM-W0zeA,1,0,0
UC3sLLcdI2j7pRumlZ-1dAcA,1,0,0
UC3tOL8JHgdhz4hPU-DKYXNw,1,0,0
UC3tviiq95rZVEhCTXeocySA,1,1,0
UC3uDfO6Mg8fGu_E0PLyZOkw,0,0,1
UC3wJiwegmcSCCXDkKj2XXYg,0,1,0
UC3xjYrnCogpH6K3II94m0iQ,0,0,1
UC3yYBvPcup-RHGti7s_IJ7g,0,1,0
UC40QltfnFeDyi1HSp8_IBPA,1,0,0
UC40YaHPvRQDkuxnKhxyzKDA,1,0,0
UC40s5z5yrd02Ngy8nQZXE5w,1,0,0
UC445KYpV6LR1EtbpRU4rmbg,0,1,0
UC48RXQoa8u2Xe0S5logPcnQ,1,0,0
UC491xVp6Ip4qz5gTyDRg4Ow,1,0,0
UC4BP3PJi_ml4i2H5vCLh6sA,1,0,0
UC4C4oU1Onro8-J_Sck-lQwg,1,1,1
UC4CGFFW708jB2lOz4R2Ymag,1,0,0
UC4IOoA_DchY2D-jM-D1rlSQ,1,0,0
UC4L9QGtCX4Q3F6IECUUlgow,1,0,0
UC4LX1jG9cITxgBNt3S_q2_Q,1,0,0
UC4LoSYSUdRjcU9N3SmNEywQ,1,0,0
UC4NBv90Z9gEWjqB26mMV_fQ,1,0,0
UC4Nu2mCoCKz9TplcxLS0pQQ,1,0,0
UC4UELaLJHbR9Dbrx-k26SSA,1,0,0
UC4Vau0DXBRFC-LsyRBhX6hA,1,0,0
UC4VirZAWmW4kwko86aaQCsg,1,0,0
UC4VqsDztvXhsdnAOIRs9G6A,1,0,0
UC4WrQrj7woJfmCDvM8f1ezg,0,1,0
UC4aZLkAT3S4ja3MXnicYZzw,1,0,0
UC4aiwUeuq4Ax_sqDM5SAj9g,1,0,0
UC4ajY2pDEm2gVF7XBltMQEA,0,1,0
