channelId,collabo_level
UCQ0Sz0RafTuXB7-kNGlNqoQ,5
UC9qxVwsDcl8gJpxROQ3xMnw,5
UCKXPOCG1DsLe2TmfMGNLpsA,5
UCrD0-xsZa1s0buLHYuzfBLQ,5
UCbDPbAfuWag0flTtStNjJBw,5
UC0jaNMcAOsc54ZmwrmSf1VA,5
UC5JJf9l3VpQ14KOPDL8pbjQ,5
UCSkAoufyYzfqBDlYPqjh_7A,5
UCCg79cQV8I571YIFVz0lpBQ,5
UCtULYtCQSJ6iwseENkpu5GQ,5
UCdSSq9vdTFch5e9DgvEry8Q,5
UC30zKoagHCij0tZZgJrSLFw,5
UC7HVETPK-PvvqHzLAvrRlug,5
UCKZFSeG3JIVnFi1jfpZzTHA,5
UCVB-arYZlg3SS0B-jnzu82w,5
UCF-VYfBjb7uupcdELrrB58A,5
UCFViG19l7Z9lhL6bt7a8xug,5
UClSiZo83Q1n5Mv6jwyBpupw,5
UCWnDeg1mjbqYq8hkNz3VUFw,5
UCwdnaGD1Pe-assNPDMRzTMg,5
UCgMyCAKWSzge21yOq_4tsWQ,5
UC9ZtbBnhWy1kAtJ87q-o_QA,5
UCN6h_VaacRMCCPTWjKTW7pA,5
UCI3iJmLozBWa7bLtX4nQwnw,5
UCniXDDy3EUBi8ufn3EAjNGQ,5
UCZA9o-0PmHwPZdqyNg163yw,5
UCzSQu8enJAduKV_GY9O-Ynw,5
UCiXZJsewy9xcIwccgI4yVHA,5
UCPIvChSwrAVk3mulJPt281Q,5
UCPpR6r_EVokN1w98dx_GiMQ,5
UC9cou9VgvGntVGtzs2f0SDg,5
UCKMmctA8PhYL2Sc6aK5lkbw,5
UCqMq7MTkHtPxV4SFS1c3avg,5
UCqy8_JaLGwnCN3KOd_5U8PQ,5
UCavP2MzniLiZq-SHFAmbUaA,5
UC0LFEzDw6vUN1tDvBvCT6-Q,5
UC51WM9tOD1nwJY-q2h4z3YQ,5
UCSMrWAGOkKmTnMQNyIhRJFQ,5
UCCFHLm1I53Utx6L2tmw5Z8w,5
UCtEo8RBhvAekmGwPtvHyDXw,5
UCdDF4yZusOai-nJqnkzT5sQ,5
UC2j1hBPwbjzGN1H-ggUIAjQ,5
UC7BKo5Zhd58NvHlK2SBLgeQ,5
UCUlcxLQlj4qMAUcOZC-4HWg,5
