channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng,cluster
UC3kUzLIMWMIJKt0n_ZqRs9g,0,0,1,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC3n-A4K3F_4tY_0EmpsDfkA,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC3nYB-CnpY7L_2ZaQNeThoA,0,0,0,1,1,0,1,0,0,0,0,0,3:お笑い・企画
UC3qwIP8oaDnaGH313D_KgBA,0,0,0,1,0,0,0,1,0,0,1,0,3:お笑い・企画
UC3rXkKNOewrbijINM-W0zeA,0,0,0,0,0,0,1,1,1,0,0,0,5:音楽・外国語
UC3tOL8JHgdhz4hPU-DKYXNw,0,1,0,0,1,0,0,0,0,0,1,0,6:動画編集
UC491xVp6Ip4qz5gTyDRg4Ow,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC4CGFFW708jB2lOz4R2Ymag,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC4K0BPhoZW1MzEHnpk_jhHw,0,0,0,0,0,0,0,0,0,0,1,0,6:動画編集
UC4L9QGtCX4Q3F6IECUUlgow,0,0,0,0,0,0,0,0,1,0,0,0,5:音楽・外国語
UC4LoSYSUdRjcU9N3SmNEywQ,0,1,0,0,0,0,0,1,0,0,0,0,4:イラスト・モデリング
UC4Vau0DXBRFC-LsyRBhX6hA,1,1,0,0,0,0,0,1,0,0,0,0,4:イラスト・モデリング
UC4VqsDztvXhsdnAOIRs9G6A,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC4a1UiEsk8_itqyIDd_8jsg,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC4a1dbAuhRwTPRNRJ3sRr-Q,1,0,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC4aZLkAT3S4ja3MXnicYZzw,1,0,0,1,1,0,1,0,0,0,0,0,4:イラスト・モデリング
UC4abpqV-4CEEB_WHiU4HHCA,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC4aiwUeuq4Ax_sqDM5SAj9g,0,0,0,0,0,1,1,0,0,0,0,0,3:お笑い・企画
UC4ajY2pDEm2gVF7XBltMQEA,0,0,0,0,1,0,0,1,0,0,0,0,1:特技なし
UC4drTm13k1Keo3Y04tgk6pw,0,0,0,0,1,0,0,0,0,1,0,0,5:音楽・外国語
UC4hks00UI5wextQdVkEIB-Q,0,0,0,1,0,0,0,0,0,0,0,0,3:お笑い・企画
UC4ijBQknjgBzLPMzpVtlMmQ,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC4npTd2MGMpuLXol2egY2hQ,0,0,0,0,1,0,1,1,0,0,0,0,1:特技なし
UC4tdzXb3MRGMw2gMS-QnmPQ,0,0,0,1,0,0,0,0,0,0,0,0,3:お笑い・企画
UC4wyC0JgnE9DhoLQkKo3qgw,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC4z7qMOpkdlWDU945-KDywQ,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC5-DtmP44TYaMLzdUaBDYdg,0,0,0,0,1,0,0,1,0,0,0,0,1:特技なし
UC5-UTz3GS8U5sYW2Hz38kwA,1,0,0,0,0,0,0,1,0,0,0,0,4:イラスト・モデリング
UC51WM9tOD1nwJY-q2h4z3YQ,0,0,0,0,0,0,1,0,0,0,1,0,6:動画編集
UC52ZfO6UKXPSy1i9RC-xBTQ,0,0,0,0,0,0,1,1,0,0,1,0,6:動画編集
UC54gypPh8-BdJ5-PgWLb45g,0,0,0,1,0,1,1,0,0,0,0,0,3:お笑い・企画
